card_id,card_name,expansion,collection_no,table_page,image_page,width,height,format,image_path,id_only_path
1,Basic {G} Energy,SVE,1,1,40,451,630,jpg,named/0001_Basic_{G}_Energy_SVE_1.jpg,by_id/1.jpg
2,Basic {R} Energy,SVE,2,1,41,451,630,jpg,named/0002_Basic_{R}_Energy_SVE_2.jpg,by_id/2.jpg
3,Basic {W} Energy,SVE,3,1,42,451,630,jpg,named/0003_Basic_{W}_Energy_SVE_3.jpg,by_id/3.jpg
4,Basic {L} Energy,SVE,4,1,43,451,630,jpg,named/0004_Basic_{L}_Energy_SVE_4.jpg,by_id/4.jpg
5,Basic {P} Energy,SVE,5,1,44,451,630,jpg,named/0005_Basic_{P}_Energy_SVE_5.jpg,by_id/5.jpg
6,Basic {F} Energy,SVE,6,1,45,451,630,jpg,named/0006_Basic_{F}_Energy_SVE_6.jpg,by_id/6.jpg
7,Basic {D} Energy,SVE,7,1,46,451,630,jpg,named/0007_Basic_{D}_Energy_SVE_7.jpg,by_id/7.jpg
8,Basic {M} Energy,SVE,8,1,47,451,630,jpg,named/0008_Basic_{M}_Energy_SVE_8.jpg,by_id/8.jpg
9,Boomerang Energy,TWM,166,1,48,660,920,jpg,named/0009_Boomerang_Energy_TWM_166.jpg,by_id/9.jpg
10,Neo Upper Energy,TEF,162,1,49,660,920,jpg,named/0010_Neo_Upper_Energy_TEF_162.jpg,by_id/10.jpg
11,Mist Energy,TEF,161,1,50,660,920,jpg,named/0011_Mist_Energy_TEF_161.jpg,by_id/11.jpg
12,Legacy Energy,TWM,167,1,51,660,920,jpg,named/0012_Legacy_Energy_TWM_167.jpg,by_id/12.jpg
13,Enriching Energy,SSP,191,1,52,660,923,jpg,named/0013_Enriching_Energy_SSP_191.jpg,by_id/13.jpg
14,Spiky Energy,JTG,159,1,53,660,920,jpg,named/0014_Spiky_Energy_JTG_159.jpg,by_id/14.jpg
15,Team Rocket's Energy,DRI,182,1,54,660,920,jpg,named/0015_Team_Rocket's_Energy_DRI_182.jpg,by_id/15.jpg
16,Prism Energy,BLK,86,1,55,660,920,jpg,named/0016_Prism_Energy_BLK_86.jpg,by_id/16.jpg
17,Ignition Energy,WHT,86,1,56,660,920,jpg,named/0017_Ignition_Energy_WHT_86.jpg,by_id/17.jpg
18,Grow Grass Energy,POR,86,1,57,451,630,jpg,named/0018_Grow_Grass_Energy_POR_86.jpg,by_id/18.jpg
19,Telepath Psychic Energy,POR,88,1,58,451,630,jpg,named/0019_Telepath_Psychic_Energy_POR_88.jpg,by_id/19.jpg
20,Rock Fighting Energy,POR,87,1,59,451,630,jpg,named/0020_Rock_Fighting_Energy_POR_87.jpg,by_id/20.jpg
21,Scrafty,PROMO,188,1,60,450,630,jpg,named/0021_Scrafty_PROMO_188.jpg,by_id/21.jpg
22,Hippopotas,DRI,105,1,61,660,920,jpg,named/0022_Hippopotas_DRI_105.jpg,by_id/22.jpg
23,Hippowdon,DRI,106,1,62,660,920,jpg,named/0023_Hippowdon_DRI_106.jpg,by_id/23.jpg
24,Team Rocket's Kangaskhan ex,ASC,162,1,63,660,920,jpg,named/0024_Team_Rocket's_Kangaskhan_ex_ASC_162.jpg,by_id/24.jpg
25,Pinsir,TWM,3,1,64,660,920,jpg,named/0025_Pinsir_TWM_3.jpg,by_id/25.jpg
26,Leafeon,TWM,11,1,65,660,920,jpg,named/0026_Leafeon_TWM_11.jpg,by_id/26.jpg
27,Iron Leaves,TWM,19,1,66,660,920,jpg,named/0027_Iron_Leaves_TWM_19.jpg,by_id/27.jpg
28,Poltchageist,TWM,20,1,67,660,920,jpg,named/0028_Poltchageist_TWM_20.jpg,by_id/28.jpg
29,Sinistcha ex,TWM,23,1,68,660,920,jpg,named/0029_Sinistcha_ex_TWM_23.jpg,by_id/29.jpg
30,Magcargo ex,TWM,29,1,69,660,920,jpg,named/0030_Magcargo_ex_TWM_29.jpg,by_id/30.jpg
31,Chi-Yu,TWM,39,1,70,660,920,jpg,named/0031_Chi-Yu_TWM_39.jpg,by_id/31.jpg
32,Glaceon,TWM,54,1,71,660,920,jpg,named/0032_Glaceon_TWM_54.jpg,by_id/32.jpg
33,Froakie,TWM,56,1,72,660,920,jpg,named/0033_Froakie_TWM_56.jpg,by_id/33.jpg
34,Frogadier,TWM,57,2,73,660,920,jpg,named/0034_Frogadier_TWM_57.jpg,by_id/34.jpg
35,Walking Wake,TWM,63,2,74,660,920,jpg,named/0035_Walking_Wake_TWM_63.jpg,by_id/35.jpg
36,Morpeko,TWM,72,2,75,660,920,jpg,named/0036_Morpeko_TWM_72.jpg,by_id/36.jpg
37,Iron Thorns ex,TWM,77,2,76,660,920,jpg,named/0037_Iron_Thorns_ex_TWM_77.jpg,by_id/37.jpg
38,Girafarig,TWM,83,2,77,660,920,jpg,named/0038_Girafarig_TWM_83.jpg,by_id/38.jpg
39,Enamorus,TWM,93,2,78,660,920,jpg,named/0039_Enamorus_TWM_93.jpg,by_id/39.jpg
40,Greninja ex,TWM,106,2,79,660,920,jpg,named/0040_Greninja_ex_TWM_106.jpg,by_id/40.jpg
41,Ting-Lu,TWM,110,2,80,660,920,jpg,named/0041_Ting-Lu_TWM_110.jpg,by_id/41.jpg
42,Applin,TWM,126,2,81,660,920,jpg,named/0042_Applin_TWM_126.jpg,by_id/42.jpg
43,Eevee,TWM,135,2,82,660,920,jpg,named/0043_Eevee_TWM_135.jpg,by_id/43.jpg
44,Bloodmoon Ursaluna ex,TWM,141,2,83,660,920,jpg,named/0044_Bloodmoon_Ursaluna_ex_TWM_141.jpg,by_id/44.jpg
45,Shaymin,TEF,13,2,84,660,920,jpg,named/0045_Shaymin_TEF_13.jpg,by_id/45.jpg
46,Gouging Fire ex,TEF,38,2,85,660,920,jpg,named/0046_Gouging_Fire_ex_TEF_38.jpg,by_id/46.jpg
47,Totodile,TEF,39,2,86,660,920,jpg,named/0047_Totodile_TEF_39.jpg,by_id/47.jpg
48,Croconaw,TEF,40,2,87,660,920,jpg,named/0048_Croconaw_TEF_40.jpg,by_id/48.jpg
49,Feraligatr,TEF,41,2,88,660,920,jpg,named/0049_Feraligatr_TEF_41.jpg,by_id/49.jpg
50,Wiglett,TEF,47,2,89,660,920,jpg,named/0050_Wiglett_TEF_47.jpg,by_id/50.jpg
51,Palafin,TEF,49,2,90,660,920,jpg,named/0051_Palafin_TEF_49.jpg,by_id/51.jpg
52,Wugtrio ex,TEF,60,2,91,660,920,jpg,named/0052_Wugtrio_ex_TEF_60.jpg,by_id/52.jpg
53,Marill,TEF,64,2,92,660,920,jpg,named/0053_Marill_TEF_64.jpg,by_id/53.jpg
54,Bronzor,TEF,68,2,93,660,920,jpg,named/0054_Bronzor_TEF_68.jpg,by_id/54.jpg
55,Bronzong,TEF,69,2,94,660,920,jpg,named/0055_Bronzong_TEF_69.jpg,by_id/55.jpg
56,Flutter Mane,TEF,78,2,95,660,920,jpg,named/0056_Flutter_Mane_TEF_78.jpg,by_id/56.jpg
57,Relicanth,TEF,84,2,96,660,920,jpg,named/0057_Relicanth_TEF_84.jpg,by_id/57.jpg
58,Great Tusk,TEF,97,2,97,660,920,jpg,named/0058_Great_Tusk_TEF_97.jpg,by_id/58.jpg
59,Gastly,TEF,102,2,98,660,920,jpg,named/0059_Gastly_TEF_102.jpg,by_id/59.jpg
60,Haunter,TEF,103,2,99,660,920,jpg,named/0060_Haunter_TEF_103.jpg,by_id/60.jpg
61,Roaring Moon,TEF,109,2,100,660,920,jpg,named/0061_Roaring_Moon_TEF_109.jpg,by_id/61.jpg
62,Koraidon,TEF,119,2,101,660,920,jpg,named/0062_Koraidon_TEF_119.jpg,by_id/62.jpg
63,Raging Bolt ex,TEF,123,2,102,660,920,jpg,named/0063_Raging_Bolt_ex_TEF_123.jpg,by_id/63.jpg
64,Hoothoot,TEF,126,2,103,660,920,jpg,named/0064_Hoothoot_TEF_126.jpg,by_id/64.jpg
65,Dunsparce,TEF,128,2,104,660,920,jpg,named/0065_Dunsparce_TEF_128.jpg,by_id/65.jpg
66,Dudunsparce,TEF,129,2,105,660,920,jpg,named/0066_Dudunsparce_TEF_129.jpg,by_id/66.jpg
